Study,Prev Score,Sleep,Practice Tests,New Score
7,99,9,7,100
6,82,4,4,77
4,51,4,4,55
4,52,4,2,50
5,75,6,5,74
4,78,4,6,86
4,73,6,4,69
3,45,4,3,40
4,77,6,4,76
6,89,6,4,87
6,91,5,8,92
4,79,5,5,73
2,47,2,1,45
4,47,2,3,32
6,79,5,5,83
5,72,4,2,67
5,73,4,4,74
4,83,6,5,78
3,54,2,2,38
6,75,5,5,74
6,99,6,5,97
7,96,6,6,91
6,74,4,6,72
3,85,5,3,88
2,61,2,3,43
4,62,5,4,70
5,79,5,5,77
7,84,5,6,85
5,94,5,6,100
4,90,6,7,92
2,61,2,3,52
2,44,3,1,45
3,70,4,4,59
4,52,5,2,43
4,67,4,6,60
4,97,5,7,92
4,59,3,4,57
5,72,6,4,79
3,55,4,1,41
4,68,5,5,66
3,62,3,4,65
4,63,3,3,61
3,73,4,3,70
3,46,3,2,45
4,77,5,5,82
4,76,3,4,74
3,43,3,1,41
3,73,4,4,65
4,81,4,3,76
4,61,3,3,64
2,44,4,1,27
4,89,5,5,89
6,81,6,5,77
3,62,4,4,51
4,93,5,7,96
7,99,7,7,100
4,54,4,2,40
3,70,5,3,68
5,98,5,5,94
3,48,2,2,33
5,82,5,6,81
8,97,7,9,100
6,92,6,8,100
3,64,5,3,59
4,64,5,4,54
5,88,4,5,96
4,60,5,5,62
5,48,3,2,51
8,94,9,7,98
4,87,4,4,89
4,77,6,6,78
4,61,3,3,52
5,82,5,6,80
3,62,3,4,60
5,88,5,6,82
3,43,3,1,34
6,68,4,5,66
2,54,3,3,44
2,40,3,0,25
7,93,6,8,100
5,69,4,2,62
4,68,5,2,59
4,59,4,2,50
3,72,3,5,62
6,80,5,6,73
5,83,5,6,77
6,75,4,6,81
9,99,8,7,100
5,61,3,3,53
4,52,4,0,42
4,46,3,2,41
3,47,3,1,46
5,67,5,5,76
6,84,6,6,81
4,82,4,4,74
3,48,3,2,35
3,64,3,4,53
7,95,7,6,92
2,55,4,3,50
4,49,3,1,35
4,50,3,0,43
4,70,6,4,67
2,51,3,2,33
4,99,4,7,100
5,70,5,3,70
3,53,5,4,52
6,90,5,7,88
7,83,6,6,88
4,71,3,5,70
7,89,7,7,95
4,92,5,6,83
3,56,4,1,58
5,74,5,5,78
4,40,4,2,45
4,68,5,5,74
7,90,5,6,94
3,43,3,1,34
4,62,5,5,71
3,67,3,2,60
4,55,3,3,50
3,51,4,2,38
7,92,9,8,93
5,60,4,2,59
6,84,5,6,84
4,56,3,1,41
4,79,5,5,70
3,52,5,3,46
5,91,5,8,91
4,97,4,7,90
3,71,4,4,71
4,76,5,6,66
5,89,5,7,93
4,54,4,3,60
3,51,4,4,42
4,88,6,5,96
7,96,5,7,94
5,54,4,3,53
5,73,6,6,83
3,45,4,4,41
3,56,4,3,46
3,87,4,3,75
6,88,5,4,97
9,96,7,8,100
4,59,3,2,48
2,48,2,4,33
7,98,9,8,97
4,44,2,0,35
3,62,4,1,60
4,72,4,3,67
3,77,3,6,73
6,95,7,7,91
2,53,2,1,36
2,56,3,1,45
5,96,4,7,88
3,58,5,4,60
4,72,5,3,78
3,40,3,3,43
2,52,2,2,49
4,85,3,4,83
4,66,5,2,69
1,45,2,0,31
5,98,6,7,97
3,45,2,3,38
5,72,5,5,78
5,69,5,4,63
4,85,5,6,95
5,74,4,5,68
5,62,4,4,66
4,49,2,2,43
6,90,6,5,95
4,58,5,5,51
6,90,6,6,95
5,67,4,4,70
4,62,3,5,61
1,43,2,-1,34
4,59,5,2,49
5,58,3,4,50
6,81,4,5,80
5,66,3,2,71
6,96,6,7,95
5,73,6,5,82
4,43,2,2,27
4,95,5,5,95
5,77,5,5,76
4,46,3,1,31
4,87,4,4,85
